"שם מוצר","מק""ט",כמות,"יחידת מידה","האם מגיע במארז","צורת מארז","יחידת מידה במארז","מספר פריטים במארז",קטגוריה,ספק,"מחיר מחירון","אחוז הנחה",פיקדון,מיסים,"מוצר חייב במע""מ","צורת ספירת מלאי","ברקוד יצרן","הגבלת כמות להזמנה"
"קוקה קולה ZERO  תריסר - 1 ליטר  (חדש)",31303,1,ליטר,כן,ארגז,בקבוקים,12,"משקאות קלים","החברה המרכזית למשקאות בעמ",38.26,0,3.05,,כן,"מארז + יחידת מידה במארז",7290013585387,
"דגל crispy and the x",35416,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",0.102,0,0,,כן,מוצר,,
"נייר עטיפה 40 ג״ר 4*40 the x 40*30",729000866894,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",28,0,0,,כן,מוצר,,
"שקית נייר 1*250 take away cut handle",35414,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",1.1,0,0,,כן,מוצר,,
"שקית נייר 1*250 take away stiker",35415,1,יחידות,לא,,,1,"חד פעמי ואריזות","קי.אי.אם שירותי סחר בע״מ",1.2,0,0,,כן,מוצר,,
"גבינת חלומי ישראלית (שקיל)",7290015278379,1,"ק""ג",לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",53,0,0,,כן,מוצר,,
"כוס פלסטיק שקופה טוליפ 250 סמ״ק",2774,1250,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,160.01,0,0,,כן,מוצר,,
"מגב פלסטיק 40 ס״מ 1 יח",7467,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,4,0,0,,כן,מוצר,,
"תבנית אלומניום 324/262/55 400 יח",736702,400,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,318.52,0,0,,כן,מוצר,,
"טבעות בצל 2 ק״ג- תפוגן",32693621,2,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",46,0,0,,כן,מוצר,,
"ניילון נצמד 45/600 חוץ , 1 יח",2561,1,יחידות,לא,,,1,"חד פעמי ואריזות",סילקו,90,0,0,,כן,מוצר,,
"ממרח מיונז גאיה 5l",102938,5,ליטר,לא,,,,"יבשים וקונדיטוריה","יהודה אלקנה",53,0,0,,כן,מוצר,,
"איירן 300 מ״ל",7290002408468,1,יחידות,לא,,,1,"מוצרי חלב וגבינות","מנטור פוד בעמ",4.7,0,0,,כן,מוצר,,
"לוטוס- מגבת תעשייתית נייר דו שכבתי מודבק טבעי",36524,1,יחידות,לא,,,,"חד פעמי ואריזות","סיוון חומרי ניקיון",56,0,0,,כן,מוצר,,
"חסה קיסר  מהדרין (היתר מכירה)",47027,1,יחידות,לא,,,1,"ירקות פירות ועשבי תיבול","עונות ישראל",7,0,0,0,לא,מוצר,,
"פרמזן איטלקי 1/8 גלגל",2528691,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",68,0,0,,כן,מוצר,,
"חומוס שלם",514406,0.56,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",3.44,0,0,,כן,מוצר,,
"צנובר 1 ק״ג",7290019847014,1,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","שופרסל אמיגה",90,0,0,,כן,מוצר,,
"ממרח מיונז 5 ליטר- גאיה",1006,5,"ק""ג",לא,,,1,"יבשים וקונדיטוריה","מנטור פוד בעמ",53,0,0,0,כן,מוצר,,
"מלפפון חממה ק""ג",45010,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",5.5,0,0,,לא,מוצר,,
"עגבניה באשכולות ק""ג (פרימיום)",45049,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",5,0,0,,לא,מוצר,,
"מיונז גאיה 5 קילו",1006,5,"ק""ג",כן,מארז,יחידות,1,רטבים,"מנטור פוד בעמ",32,0,0,,כן,מארז,,
"כרובית ק""ג",45016,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",5.5,0,0,,לא,מוצר,,
"גמבה אדום ק""ג",45007,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",7.5,0,0,,לא,מוצר,,
"גמבה צהוב ק""ג",45006,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",7.5,0,0,,לא,מוצר,,
"רוקט ערבי נספאק מהדרין",41036,1,יחידות,לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",8,0,0,,לא,מוצר,,
"ריחן פרסי",40172,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",25,0,0,,לא,מוצר,,
"נבטים סיניים",40085,1,יחידות,לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",4.7,0,0,,לא,מוצר,,
"לימון ק""ג",45011,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",6.5,0,0,,לא,מוצר,,
"פלפל חריף אדום ק""ג",45024,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",5.5,0,0,,לא,מוצר,,
"פלפל חריף ירוק ק""ג",45023,1,"ק""ג",לא,,,,"ירקות פירות ועשבי תיבול","עונות ישראל",5.5,0,0,,לא,מוצר,,
